Page Name,URL Slug,Page Type,Target Keyword,H1,Meta Title,Meta Description,Status,Notes
Homepage,/,core,healthcare marketing agency,"Turn Your Marketing Into Predictable Revenue","Regtek Consulting | Data-Driven Marketing for Healthcare Practices","Founder-led digital marketing for healthcare practices. Google Ads, Meta Ads, and web design built by someone who scaled a healthcare business to Inc 5000.",pending,"Semantic H1 fix — current site uses display span"
About,/about,core,kevin dillon regtek founder,"From Healthcare Operations to Digital Marketing","About Regtek Consulting | Healthcare Operations Expertise","Meet Kevin Dillon, the founder who ran operations for a healthcare clinic that grew from 1 to 5 offices and Inc 5000 before starting Regtek. Operator-led marketing, not agency-speak.",pending,"Expand from 700 to ~1200 words — add founder timeline, specific credentials"
Services Hub,/services,core,healthcare marketing services,"Services Built Around Your Business Goals","Healthcare Marketing Services | Google Ads, Meta Ads, Web Design | Regtek","Google Ads management, Meta Ads management, and conversion-optimized web design for healthcare practices. Founder-led, results-first, small-practice friendly.",pending,
Google Ads Service,/services/google-ads,service,google ads for medical practices,"Turn Search Traffic Into Paying Customers","Google Ads for Medical Practices | Regtek Consulting","Google Ads campaigns built for healthcare practices. Case study: $37/lead for a dermatology client. Founder-led, conversion-first campaign management.",pending,"Was /google-ads — 301 from old URL. Lead with $37 derm lead case study."
Meta Ads Service,/services/meta-ads,service,meta ads for healthcare,"Reach Your Ideal Patients Where They Scroll","Meta Ads for Healthcare Practices | Facebook & Instagram | Regtek","Facebook and Instagram ads for medical practices and med spas. Compliance-native, targeting ideal patients — not blasting broad audiences.",pending,"Was /meta-ads — 301 from old URL. Reference 2026 Meta healthcare restrictions as a pain point we navigate."
Website Design Service,/services/website-design,service,healthcare website design CRO,"Your Website Should Be Your Best Salesperson","Healthcare Website Design & CRO | Regtek Consulting","Conversion-optimized web design for healthcare practices. Every element placed to drive booked appointments — not just look pretty.",pending,"Was /website-design — 301 from old URL. Expand from ~2800 chars."
Contact,/contact,core,contact regtek consulting,"Learn How We Can Help You Grow","Contact Regtek Consulting | Book a Free Strategy Call","Ready to scale beyond word-of-mouth? Book a free consultation with Kevin Dillon. Direct founder access, no account managers.",pending,"Form markup + validation only — Kevin wires Resend backend later"
Blog Index,/blog,blog-index,healthcare marketing blog,"Tips & Tricks That Actually Work","Healthcare Marketing Blog | Regtek Consulting","Data-driven marketing insights and case studies for healthcare practices. PPC strategies, CRO, lead quality — no fluff.",pending,"Replaces /tips-tricks — 301 from old URL. List all 9 posts with category filter."
Blog Category: Case Studies,/blog/category/case-studies-results,blog-category,healthcare marketing case studies,"Case Studies & Results","Healthcare Marketing Case Studies | Regtek Consulting","Real results from healthcare marketing campaigns. $37 dermatology leads, 4x med spa ROAS, and more.",pending,
Blog Category: General,/blog/category/general,blog-category,,"General","Healthcare Marketing Insights | Regtek Consulting","General insights on growing a healthcare practice through digital marketing.",pending,"Consider renaming category"
Blog Category: Web & CRO,/blog/category/website-conversion-optimization,blog-category,healthcare CRO blog,"Website & Conversion Optimization","Healthcare Website CRO Blog | Regtek Consulting","Conversion rate optimization insights for healthcare websites.",pending,
Blog Post: CRO Healthcare,/blog/cro-optimization-healthcare-practices,blog-post,healthcare website conversion rate,"CRO Optimization: Why Healthcare Websites Lose 97% of Visitors","Healthcare CRO: Why 97% of Website Visitors Leave | Regtek","Most healthcare websites lose 97% of visitors. Here's what's actually causing it and how to fix it — with real CRO data.",pending,
Blog Post: Dermatology Lead Cost,/blog/dermatology-lead-cost-case-study,blog-post,cost per lead dermatology,"What Should Dermatology Leads Cost? How One Practice Achieved $37 Per Lead","$37 Per Dermatology Lead: Case Study | Regtek Consulting","Real case study: how one dermatology practice brought its cost-per-lead down to $37 — below industry average of $120+. The exact strategy.",pending,"HERO blog post — highest value, link from homepage + Google Ads page"
Blog Post: GBP Optimization,/blog/google-business-profile-optimization-medical-practices,blog-post,google business profile medical practice,"Why Your Half-Finished Google Business Profile Is Costing You Patients","Google Business Profile for Medical Practices | Regtek","A half-finished Google Business Profile is silently costing your practice new patients. Here's exactly what to fix.",pending,
Blog Post: Conversion Killers,/blog/healthcare-website-conversion-killers,blog-post,healthcare website conversion killers,"7 Conversion Killers on Healthcare Websites","7 Conversion Killers on Healthcare Websites | Regtek","Seven preventable mistakes that kill conversions on healthcare websites — and how to fix each one.",pending,
Blog Post: Leads Not Converting,/blog/marketing-leads-not-converting,blog-post,marketing leads not converting healthcare,"Why Your Marketing Leads Aren't Converting (It's Not What You Think)","Healthcare Marketing Leads Not Converting? Here's Why | Regtek","The real reason healthcare marketing leads aren't converting — and it's not your ad copy. What to fix at the operations level.",pending,"Pillar post"
Blog Post: MedSpa ROI,/blog/medical-spa-marketing-roi-lifetime-value-case-study,blog-post,medical spa marketing ROI lifetime value,"Medical Spa Marketing ROI: How One MedSpa Hit 4x ROAS by Tracking Lifetime Value","Medical Spa Marketing ROI Case Study: 4x ROAS | Regtek","How one med spa achieved 4x ROAS by measuring customer lifetime value instead of last-click. Full case study.",pending,"HERO case study for Meta Ads service page"
Blog Post: Provider Videos,/blog/provider-intro-videos-medical-practices,blog-post,provider intro videos medical,"Why Your Best Marketing Asset Is Already Walking Around Your Clinic","Provider Intro Videos for Medical Practices | Regtek","Your providers are your best marketing asset. Here's how to turn provider intro videos into a lead generation engine.",pending,
Blog Post: SEO Strategy Basics,/blog/seo-strategy-basics,blog-post,healthcare SEO H1 meta titles,"SEO Strategy Basics: How H1 Tags, Meta Titles, and Meta Descriptions Actually Drive Patient Traffic","Healthcare SEO: H1 Tags, Meta Titles & Descriptions | Regtek","How H1 tags, meta titles, and meta descriptions actually drive patient traffic to healthcare websites — with examples.",pending,"Renamed from ...-healthcare-6. 301 from old ugly slug."
Blog Post: Why I Started Regtek,/blog/why-i-started-regtek-consulting,blog-post,why kevin dillon started regtek,"Why I Started Regtek Consulting (And Why Your Marketing Agency Should Understand Your Business)","Why I Started Regtek Consulting | Kevin Dillon","The founder story behind Regtek Consulting — why operational expertise matters more than marketing tactics.",pending,"Founder story — link from About and Homepage"
